geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_asn,vbm_rate_lat,vbm_rate_youth
6079010504,79,0.00116,1.0,0.97952,0.0,0.11868,0.0,0.1679,0.0,0.09658,0.0,0.02675,1.0,0.0,1.0,0.10141,0.0,0.86107,0.0,0.01085,0.0,0.2084,0,0.00602,0.01449,2592.0,10.44771,248.09263,0.67314,0.75131,0.64271,0.65086
6079010602,79,0.03024,1.0,0.96158,0.0,0.07612,0.0,0.10839,0.0,0.08202,0.0,0.05326,1.0,0.0,1.0,0.1233,0.0,0.79095,0.0,0.01456,0.0,0.11116,0,0.00652,0.01798,3836.0,5.22676,733.916,0.71776,0.69377,0.64602,0.60633
6079010603,79,0.06867,0.0,0.9,0.0,0.0305,1.0,0.11339,0.0,0.14305,0.0,0.02903,1.0,0.01106,1.0,0.2246,0.0,0.72564,0.0,0.00551,0.0,0.33119,0,0.02093,0.00547,1287.0,10.7148,120.11429,0.7024,0.47073,0.68542,0.56992
6079010701,79,0.01976,0.0,0.97185,0.0,0.10766,0.0,0.11447,0.0,0.09213,0.0,0.02261,1.0,0.0,1.0,0.16801,0.0,0.76752,0.0,0.01938,0.0,0.26577,0,0.00379,0.02276,4650.0,2.40067,1936.95582,0.66927,0.62806,0.65708,0.69775
6079010703,79,0.15623,0.0,0.97381,0.0,0.15971,0.0,0.15404,0.0,0.04686,0.0,0.05864,0.0,0.00337,1.0,0.17873,0.0,0.67649,0.0,0.01168,0.0,0.12335,0,0.00977,0.01298,3487.0,4.00856,869.88845,0.71079,0.68632,0.57616,0.63996
6079010707,79,0.0219,0.0,0.96722,0.0,0.06012,0.0,0.07351,0.0,0.04229,0.0,0.02666,1.0,0.0,1.0,0.13016,0.0,0.82964,0.0,0.0256,0.0,0.21186,0,0.00527,0.0272,5751.0,25.00108,230.0301,0.72113,0.7511,0.59532,0.62221
6079010901,79,0.01175,0.0,0.85047,0.0,0.02972,0.0,0.82218,0.0,0.96624,0.0,0.17573,0.0,0.01656,0.0,0.1355,0.0,0.61755,0.0,0.0482,0.0,0.75547,0,0.05529,0.02625,8319.0,18.22175,456.54229,0.45832,0.43421,0.40914,0.4377
6079010902,79,0.03112,1.0,0.99283,0.0,0.02694,0.0,0.70441,0.0,0.77915,0.0,0.05202,0.0,0.04598,0.0,0.17859,0.0,0.6981,0.0,0.01848,0.0,0.50173,0,0.01302,0.01401,3874.0,1.22377,3165.62884,0.61392,0.58061,0.56871,0.55556
6079011001,79,0.08852,0.0,0.88711,0.0,0.06328,0.0,0.16809,0.0,0.15881,0.0,0.07482,0.0,0.03313,1.0,0.20733,0.0,0.62938,0.0,0.01818,0.0,0.22991,0,0.01445,0.02065,5314.0,8.6987,610.89585,0.72334,0.73069,0.67186,0.65102
6079011002,79,0.01396,1.0,0.95071,0.0,0.04707,0.0,0.36355,0.0,0.40779,0.0,0.01449,1.0,0.01087,1.0,0.13764,0.0,0.82735,0.0,0.01364,0.0,0.41158,0,0.03175,0.01311,2877.0,5.36299,536.45479,0.69136,0.70226,0.60956,0.61827
6079011101,79,0.03272,0.0,0.86341,0.0,0.09705,0.0,0.29441,0.0,0.28663,0.0,0.05505,0.0,0.02097,1.0,0.20332,0.0,0.68512,0.0,0.01396,0.0,0.33391,0,0.0717,0.01612,3592.0,1.62097,2215.95072,0.65391,0.74255,0.62671,0.60806
6079011102,79,0.04602,0.0,0.88996,0.0,0.05585,0.0,0.20474,0.0,0.19565,0.0,0.04775,1.0,0.01412,1.0,0.16314,0.0,0.7553,0.0,0.01991,0.0,0.28277,0,0.03502,0.02493,5127.0,2.30133,2227.83854,0.65791,0.60317,0.63619,0.58904
6079011103,79,0.09891,0.0,0.9374,0.0,0.14537,0.0,0.08316,0.0,0.05136,0.0,0.04612,0.0,0.02446,1.0,0.30853,0.0,0.61076,0.0,0.00938,0.0,0.12007,0,0.04465,0.01284,2737.0,4.97072,550.62492,0.68057,0.66685,0.63756,0.59965
6079011200,79,0.03023,0.0,0.90881,0.0,0.03032,0.0,0.51004,0.0,0.58524,0.0,0.05048,0.0,0.01471,1.0,0.10934,0.0,0.78718,0.0,0.03477,0.0,0.33377,0,0.01665,0.03261,7355.0,14.93433,492.48936,0.68511,0.67459,0.63503,0.57235
6079011300,79,0.11466,0.0,0.96943,0.0,0.06562,0.0,0.16071,0.0,0.17303,0.0,0.0845,0.0,0.01891,1.0,0.23262,0.0,0.61273,0.0,0.02659,0.0,0.28262,0,0.01595,0.02944,7745.0,10.86377,712.92008,0.68026,0.71381,0.59505,0.62038
6079011400,79,0.08808,0.0,,1.0,,1.0,,1.0,0.07319,0.0,0.03109,0.0,0.50874,0.0,0.20272,0.0,0.19398,0.0,0.01334,0.0,0.0,1,7e-05,,6446.0,1.34281,4800.38238,,,,
6079011501,79,0.10227,0.0,0.97544,0.0,0.13603,0.0,0.15616,0.0,0.12326,0.0,0.07306,1.0,0.00558,1.0,0.28555,0.0,0.58784,0.0,0.00578,0.0,0.08898,0,0.00564,0.0073,1783.0,1.39895,1274.52538,0.70716,0.61495,0.61051,0.52604
